measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,rei_id,rei_name,metric_id,metric_name,year,val,upper,lower
2,DALYs (Disability-Adjusted Life Years),8,Taiwan (Province of China),2,Female,11,30-34 years,432,Cervical cancer,169,All risk factors,3,Rate,2019,73.59631574589001,95.29967112813,55.98574102359
2,DALYs (Disability-Adjusted Life Years),8,Taiwan (Province of China),2,Female,12,35-39 years,432,Cervical cancer,169,All risk factors,3,Rate,2019,110.33469713333001,145.35281845362002,82.52482804885001
2,DALYs (Disability-Adjusted Life Years),8,Taiwan (Province of China),2,Female,13,40-44 years,432,Cervical cancer,169,All risk factors,3,Rate,2019,162.99777314695,206.7497811032,124.96085815424001
2,DALYs (Disability-Adjusted Life Years),8,Taiwan (Province of China),2,Female,14,45-49 years,432,Cervical cancer,169,All risk factors,3,Rate,2019,232.85893220384,292.85768193625,183.5922515318
2,DALYs (Disability-Adjusted Life Years),10,Kingdom of Cambodia,2,Female,11,30-34 years,432,Cervical cancer,169,All risk factors,3,Rate,2019,186.24254152454,321.49037356071,105.74329345833999
2,DALYs (Disability-Adjusted Life Years),10,Kingdom of Cambodia,2,Female,12,35-39 years,432,Cervical cancer,169,All risk factors,3,Rate,2019,353.16045055993,584.2565964211,207.48482624587
2,DALYs (Disability-Adjusted Life Years),10,Kingdom of Cambodia,2,Female,13,40-44 years,432,Cervical cancer,169,All risk factors,3,Rate,2019,608.84570653606,969.2221125535101,362.28905758922
2,DALYs (Disability-Adjusted Life Years),10,Kingdom of Cambodia,2,Female,14,45-49 years,432,Cervical cancer,169,All risk factors,3,Rate,2019,773.43042914536,1188.8159052150102,477.67609375238
2,DALYs (Disability-Adjusted Life Years),11,Republic of Indonesia,2,Female,11,30-34 years,432,Cervical cancer,169,All risk factors,3,Rate,2019,152.99682587949002,214.79047753141003,112.23339330113001
2,DALYs (Disability-Adjusted Life Years),11,Republic of Indonesia,2,Female,12,35-39 years,432,Cervical cancer,169,All risk factors,3,Rate,2019,284.85882941824997,384.73771734792,210.88528777284
2,DALYs (Disability-Adjusted Life Years),11,Republic of Indonesia,2,Female,13,40-44 years,432,Cervical cancer,169,All risk factors,3,Rate,2019,487.27334432079994,655.72762041157,355.80759297328
2,DALYs (Disability-Adjusted Life Years),11,Republic of Indonesia,2,Female,14,45-49 years,432,Cervical cancer,169,All risk factors,3,Rate,2019,620.41940447034,833.19301596134,431.94617860789
2,DALYs (Disability-Adjusted Life Years),6,People's Republic of China,2,Female,11,30-34 years,432,Cervical cancer,169,All risk factors,3,Rate,2019,93.92436270704,125.04489555954001,67.01869136103
2,DALYs (Disability-Adjusted Life Years),6,People's Republic of China,2,Female,12,35-39 years,432,Cervical cancer,169,All risk factors,3,Rate,2019,175.18283277146,232.85752839869,126.22693121254001
2,DALYs (Disability-Adjusted Life Years),6,People's Republic of China,2,Female,13,40-44 years,432,Cervical cancer,169,All risk factors,3,Rate,2019,286.52429965464,369.68074323917,210.98712018025003
2,DALYs (Disability-Adjusted Life Years),6,People's Republic of China,2,Female,14,45-49 years,432,Cervical cancer,169,All risk factors,3,Rate,2019,349.59880918931003,448.27635356583,251.88739172643002
2,DALYs (Disability-Adjusted Life Years),7,Democratic People's Republic of Korea,2,Female,11,30-34 years,432,Cervical cancer,169,All risk factors,3,Rate,2019,191.20498549811,318.13806876815,103.47306790826
2,DALYs (Disability-Adjusted Life Years),7,Democratic People's Republic of Korea,2,Female,12,35-39 years,432,Cervical cancer,169,All risk factors,3,Rate,2019,344.2084049368,582.47801646477,184.70674436676
2,DALYs (Disability-Adjusted Life Years),7,Democratic People's Republic of Korea,2,Female,13,40-44 years,432,Cervical cancer,169,All risk factors,3,Rate,2019,558.29775323557,934.6344202277901,306.83846980165
2,DALYs (Disability-Adjusted Life Years),7,Democratic People's Republic of Korea,2,Female,14,45-49 years,432,Cervical cancer,169,All risk factors,3,Rate,2019,766.49227682831,1234.72455285468,439.3819479836
2,DALYs (Disability-Adjusted Life Years),13,Malaysia,2,Female,11,30-34 years,432,Cervical cancer,169,All risk factors,3,Rate,2019,116.45774778727,176.70804304006,74.59176796594
2,DALYs (Disability-Adjusted Life Years),13,Malaysia,2,Female,12,35-39 years,432,Cervical cancer,169,All risk factors,3,Rate,2019,258.0850816732,380.94338963947,161.87150697636
2,DALYs (Disability-Adjusted Life Years),13,Malaysia,2,Female,13,40-44 years,432,Cervical cancer,169,All risk factors,3,Rate,2019,478.51930395718995,689.37817376105,294.26531845004996
2,DALYs (Disability-Adjusted Life Years),13,Malaysia,2,Female,14,45-49 years,432,Cervical cancer,169,All risk factors,3,Rate,2019,634.3514712739001,910.5817475210399,411.34703674318
2,DALYs (Disability-Adjusted Life Years),14,Republic of Maldives,2,Female,11,30-34 years,432,Cervical cancer,169,All risk factors,3,Rate,2019,45.08200537977,66.6575784617,27.847184021580002
2,DALYs (Disability-Adjusted Life Years),14,Republic of Maldives,2,Female,12,35-39 years,432,Cervical cancer,169,All risk factors,3,Rate,2019,82.89436826605001,128.53662763904998,50.717814743880005
2,DALYs (Disability-Adjusted Life Years),14,Republic of Maldives,2,Female,13,40-44 years,432,Cervical cancer,169,All risk factors,3,Rate,2019,132.82509442344002,201.84994738748998,84.85960568611
2,DALYs (Disability-Adjusted Life Years),14,Republic of Maldives,2,Female,14,45-49 years,432,Cervical cancer,169,All risk factors,3,Rate,2019,168.87804240411,242.74686520622,109.45678174409
2,DALYs (Disability-Adjusted Life Years),15,Republic of the Union of Myanmar,2,Female,11,30-34 years,432,Cervical cancer,169,All risk factors,3,Rate,2019,175.38949071743,287.10591682306,96.81749075634
2,DALYs (Disability-Adjusted Life Years),15,Republic of the Union of Myanmar,2,Female,12,35-39 years,432,Cervical cancer,169,All risk factors,3,Rate,2019,305.4952238384,512.3092358484801,167.18754167023
2,DALYs (Disability-Adjusted Life Years),15,Republic of the Union of Myanmar,2,Female,13,40-44 years,432,Cervical cancer,169,All risk factors,3,Rate,2019,483.56776216357,792.8448260762999,275.51261791045
