IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
NCD_CXCA_SCREENED_WITHIN_TIMEPERIOD,Prevalence of cervical cancer screening  among women aged 30-49 years (%),numeric,AFR,Africa,Country,BEN,Benin,Year,2019,true,Sex,Female,SEX_FMLE,Age Group,30-49 years,AGEGROUP_YEARS30-49,Time period,in the last year,TIMEPERIOD_TIMEPERIOD_LAST01YEAR,,,,0,,,0,,0,0 [0-0],,,EN,2022-09-18T22:00:00.000Z
NCD_CXCA_SCREENED_WITHIN_TIMEPERIOD,Prevalence of cervical cancer screening  among women aged 30-49 years (%),numeric,AFR,Africa,Country,BEN,Benin,Year,2019,true,Sex,Female,SEX_FMLE,Age Group,30-49 years,AGEGROUP_YEARS30-49,Time period,in the last three years,TIMEPERIOD_TIMEPERIOD_LAST03YEARS,,,,0,,,0,,0,0 [0-0],,,EN,2022-09-18T22:00:00.000Z
NCD_CXCA_SCREENED_WITHIN_TIMEPERIOD,Prevalence of cervical cancer screening  among women aged 30-49 years (%),numeric,AFR,Africa,Country,BEN,Benin,Year,2019,true,Sex,Female,SEX_FMLE,Age Group,30-49 years,AGEGROUP_YEARS30-49,Time period,in the last five years,TIMEPERIOD_TIMEPERIOD_LAST05YEARS,,,,0,,,0,,0,0 [0-0],,,EN,2022-09-18T22:00:00.000Z
NCD_CXCA_SCREENED_WITHIN_TIMEPERIOD,Prevalence of cervical cancer screening  among women aged 30-49 years (%),numeric,AFR,Africa,Country,ETH,Ethiopia,Year,2019,true,Sex,Female,SEX_FMLE,Age Group,30-49 years,AGEGROUP_YEARS30-49,Time period,in the last year,TIMEPERIOD_TIMEPERIOD_LAST01YEAR,,,,0,,,0,,0,0 [0-0],,,EN,2022-09-18T22:00:00.000Z
NCD_CXCA_SCREENED_WITHIN_TIMEPERIOD,Prevalence of cervical cancer screening  among women aged 30-49 years (%),numeric,SEAR,South-East Asia,Country,TLS,Timor-Leste,Year,2019,true,Sex,Female,SEX_FMLE,Age Group,30-49 years,AGEGROUP_YEARS30-49,Time period,in the last year,TIMEPERIOD_TIMEPERIOD_LAST01YEAR,,,,0,,,0,,0,0 [0-0],,,EN,2022-09-18T22:00:00.000Z
NCD_CXCA_SCREENED_WITHIN_TIMEPERIOD,Prevalence of cervical cancer screening  among women aged 30-49 years (%),numeric,AFR,Africa,Country,BEN,Benin,Year,2019,true,Sex,Female,SEX_FMLE,Age Group,30-49 years,AGEGROUP_YEARS30-49,Time period,in lifetime,TIMEPERIOD_TIMEPERIOD_EVER_LIFETIME,,,,0,,,0,,1,0 [0-1],,,EN,2022-09-18T22:00:00.000Z
NCD_CXCA_SCREENED_WITHIN_TIMEPERIOD,Prevalence of cervical cancer screening  among women aged 30-49 years (%),numeric,AFR,Africa,Country,CIV,Cote d'Ivoire,Year,2019,true,Sex,Female,SEX_FMLE,Age Group,30-49 years,AGEGROUP_YEARS30-49,Time period,in the last year,TIMEPERIOD_TIMEPERIOD_LAST01YEAR,,,,0,,,0,,1,0 [0-1],,,EN,2022-09-18T22:00:00.000Z
NCD_CXCA_SCREENED_WITHIN_TIMEPERIOD,Prevalence of cervical cancer screening  among women aged 30-49 years (%),numeric,WPR,Western Pacific,Country,FJI,Fiji,Year,2019,true,Sex,Female,SEX_FMLE,Age Group,30-49 years,AGEGROUP_YEARS30-49,Time period,in the last year,TIMEPERIOD_TIMEPERIOD_LAST01YEAR,,,,0,,,0,,1,0 [0-1],,,EN,2022-09-18T22:00:00.000Z
NCD_CXCA_SCREENED_WITHIN_TIMEPERIOD,Prevalence of cervical cancer screening  among women aged 30-49 years (%),numeric,AFR,Africa,Country,GNB,Guinea-Bissau,Year,2019,true,Sex,Female,SEX_FMLE,Age Group,30-49 years,AGEGROUP_YEARS30-49,Time period,in the last year,TIMEPERIOD_TIMEPERIOD_LAST01YEAR,,,,0,,,0,,1,0 [0-1],,,EN,2022-09-18T22:00:00.000Z
NCD_CXCA_SCREENED_WITHIN_TIMEPERIOD,Prevalence of cervical cancer screening  among women aged 30-49 years (%),numeric,AFR,Africa,Country,NER,Niger,Year,2019,true,Sex,Female,SEX_FMLE,Age Group,30-49 years,AGEGROUP_YEARS30-49,Time period,in the last year,TIMEPERIOD_TIMEPERIOD_LAST01YEAR,,,,0,,,0,,1,0 [0-1],,,EN,2022-09-18T22:00:00.000Z
NCD_CXCA_SCREENED_WITHIN_TIMEPERIOD,Prevalence of cervical cancer screening  among women aged 30-49 years (%),numeric,WPR,Western Pacific,Country,SLB,Solomon Islands,Year,2019,true,Sex,Female,SEX_FMLE,Age Group,30-49 years,AGEGROUP_YEARS30-49,Time period,in the last year,TIMEPERIOD_TIMEPERIOD_LAST01YEAR,,,,0,,,0,,1,0 [0-1],,,EN,2022-09-18T22:00:00.000Z
NCD_CXCA_SCREENED_WITHIN_TIMEPERIOD,Prevalence of cervical cancer screening  among women aged 30-49 years (%),numeric,EMR,Eastern Mediterranean,Country,SOM,Somalia,Year,2019,true,Sex,Female,SEX_FMLE,Age Group,30-49 years,AGEGROUP_YEARS30-49,Time period,in the last year,TIMEPERIOD_TIMEPERIOD_LAST01YEAR,,,,0,,,0,,1,0 [0-1],,,EN,2022-09-18T22:00:00.000Z
NCD_CXCA_SCREENED_WITHIN_TIMEPERIOD,Prevalence of cervical cancer screening  among women aged 30-49 years (%),numeric,EMR,Eastern Mediterranean,Country,SDN,Sudan,Year,2019,true,Sex,Female,SEX_FMLE,Age Group,30-49 years,AGEGROUP_YEARS30-49,Time period,in the last year,TIMEPERIOD_TIMEPERIOD_LAST01YEAR,,,,0,,,0,,1,0 [0-1],,,EN,2022-09-18T22:00:00.000Z
NCD_CXCA_SCREENED_WITHIN_TIMEPERIOD,Prevalence of cervical cancer screening  among women aged 30-49 years (%),numeric,SEAR,South-East Asia,Country,TLS,Timor-Leste,Year,2019,true,Sex,Female,SEX_FMLE,Age Group,30-49 years,AGEGROUP_YEARS30-49,Time period,in the last three years,TIMEPERIOD_TIMEPERIOD_LAST03YEARS,,,,0,,,0,,1,0 [0-1],,,EN,2022-09-18T22:00:00.000Z
NCD_CXCA_SCREENED_WITHIN_TIMEPERIOD,Prevalence of cervical cancer screening  among women aged 30-49 years (%),numeric,AFR,Africa,Country,CAF,Central African Republic,Year,2019,true,Sex,Female,SEX_FMLE,Age Group,30-49 years,AGEGROUP_YEARS30-49,Time period,in the last year,TIMEPERIOD_TIMEPERIOD_LAST01YEAR,,,,0,,,0,,2,0 [0-2],,,EN,2022-09-18T22:00:00.000Z
NCD_CXCA_SCREENED_WITHIN_TIMEPERIOD,Prevalence of cervical cancer screening  among women aged 30-49 years (%),numeric,AFR,Africa,Country,TCD,Chad,Year,2019,true,Sex,Female,SEX_FMLE,Age Group,30-49 years,AGEGROUP_YEARS30-49,Time period,in the last year,TIMEPERIOD_TIMEPERIOD_LAST01YEAR,,,,0,,,0,,2,0 [0-2],,,EN,2022-09-18T22:00:00.000Z
