measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,rei_id,rei_name,metric_id,metric_name,year,val,upper,lower
3,YLDs (Years Lived with Disability),8,Taiwan (Province of China),2,Female,11,30-34 years,432,Cervical cancer,169,All risk factors,3,Rate,2019,6.05902817538,10.20798309165,3.31502240814
3,YLDs (Years Lived with Disability),8,Taiwan (Province of China),2,Female,12,35-39 years,432,Cervical cancer,169,All risk factors,3,Rate,2019,8.20119633893,13.22535995783,4.48577720119
3,YLDs (Years Lived with Disability),8,Taiwan (Province of China),2,Female,13,40-44 years,432,Cervical cancer,169,All risk factors,3,Rate,2019,10.66944395911,17.12772971021,6.239134171819999
3,YLDs (Years Lived with Disability),7,Democratic People's Republic of Korea,2,Female,11,30-34 years,432,Cervical cancer,169,All risk factors,3,Rate,2019,8.199783580130001,15.882083698170002,3.69634814753
3,YLDs (Years Lived with Disability),7,Democratic People's Republic of Korea,2,Female,12,35-39 years,432,Cervical cancer,169,All risk factors,3,Rate,2019,13.43590285159,26.10671130013,6.0103264111
3,YLDs (Years Lived with Disability),7,Democratic People's Republic of Korea,2,Female,13,40-44 years,432,Cervical cancer,169,All risk factors,3,Rate,2019,18.92630076912,37.001042577060005,8.579280547269999
3,YLDs (Years Lived with Disability),6,People's Republic of China,2,Female,14,45-49 years,432,Cervical cancer,169,All risk factors,3,Rate,2019,15.51086876813,22.8276574493,9.44666865289
3,YLDs (Years Lived with Disability),6,People's Republic of China,2,Female,11,30-34 years,432,Cervical cancer,169,All risk factors,3,Rate,2019,6.808214122450001,10.35352728168,4.11704412673
3,YLDs (Years Lived with Disability),6,People's Republic of China,2,Female,12,35-39 years,432,Cervical cancer,169,All risk factors,3,Rate,2019,11.153285715240001,17.0694545239,7.01815791332
3,YLDs (Years Lived with Disability),6,People's Republic of China,2,Female,13,40-44 years,432,Cervical cancer,169,All risk factors,3,Rate,2019,15.144776716700001,22.2343425671,9.16258705251
3,YLDs (Years Lived with Disability),7,Democratic People's Republic of Korea,2,Female,14,45-49 years,432,Cervical cancer,169,All risk factors,3,Rate,2019,21.75898424375,43.57978110135,9.82885233923
3,YLDs (Years Lived with Disability),8,Taiwan (Province of China),2,Female,14,45-49 years,432,Cervical cancer,169,All risk factors,3,Rate,2019,13.12127687528,20.47153066786,7.689696346500001
3,YLDs (Years Lived with Disability),12,Lao People's Democratic Republic,2,Female,11,30-34 years,432,Cervical cancer,169,All risk factors,3,Rate,2019,5.72400000836,10.47889194307,2.5849477149699998
3,YLDs (Years Lived with Disability),12,Lao People's Democratic Republic,2,Female,12,35-39 years,432,Cervical cancer,169,All risk factors,3,Rate,2019,9.24852332154,16.34602856183,4.39013421409
3,YLDs (Years Lived with Disability),12,Lao People's Democratic Republic,2,Female,13,40-44 years,432,Cervical cancer,169,All risk factors,3,Rate,2019,12.83264427447,22.263524222250002,6.2952175424
3,YLDs (Years Lived with Disability),10,Kingdom of Cambodia,2,Female,11,30-34 years,432,Cervical cancer,169,All risk factors,3,Rate,2019,6.16359068142,11.19363131762,2.6941618891
3,YLDs (Years Lived with Disability),10,Kingdom of Cambodia,2,Female,12,35-39 years,432,Cervical cancer,169,All risk factors,3,Rate,2019,10.60445563446,19.419180180690002,4.79000721394
3,YLDs (Years Lived with Disability),10,Kingdom of Cambodia,2,Female,13,40-44 years,432,Cervical cancer,169,All risk factors,3,Rate,2019,15.62363693771,28.630962103759998,7.03628677767
3,YLDs (Years Lived with Disability),11,Republic of Indonesia,2,Female,14,45-49 years,432,Cervical cancer,169,All risk factors,3,Rate,2019,14.593642186130001,21.807828725049998,8.7738054564
3,YLDs (Years Lived with Disability),10,Kingdom of Cambodia,2,Female,14,45-49 years,432,Cervical cancer,169,All risk factors,3,Rate,2019,17.22274819054,32.07012300489,7.68585140699
3,YLDs (Years Lived with Disability),11,Republic of Indonesia,2,Female,11,30-34 years,432,Cervical cancer,169,All risk factors,3,Rate,2019,5.32015829078,7.87673672507,3.2361922224499997
3,YLDs (Years Lived with Disability),11,Republic of Indonesia,2,Female,12,35-39 years,432,Cervical cancer,169,All risk factors,3,Rate,2019,8.98431389235,13.194730909959999,5.4212166822
